CPO	REF	LAT NAP	LON NAP	LAT OSM	LON OSM	DIST (m)	LOCATION
EDP	MOBI-ACH-00002	39.7632680	-7.9331690	38.7294043	-8.8477574	139349.04	surface
GLP	TNV-00004	39.0975040	-9.2539820	39.4630784	-8.5323415	74231.62	underground
EDP	GDL-00020	39.0689400	-8.7850800	38.4664936	-8.8772948	67464.35	surface
EDP	LLE-00027	37.1230930	-7.6461610	37.0759693	-8.1172880	42110.47	underground
EDP	GDL-00012	38.2272150	-8.5551700	38.4637599	-8.8687753	37944.58	surface
EDP	GDL-00011	38.2272150	-8.5551700	38.4637141	-8.8688130	37943.43	surface
KLS	CTB-00077	39.9737300	-7.3475630	39.7300740	-7.4711438	29074.69	surface
KLS	CTB-00078	39.9737300	-7.3475633	39.7300682	-7.4711150	29074.39	surface
EDP	VND-00017	38.6944960	-8.8570000	38.6206718	-8.5803670	25384.35	surface
EDP	VND-00016	38.6944960	-8.8570000	38.6206481	-8.5804646	25377.19	surface
EDP	FLG-00006	41.1734120	-8.2046730	41.3589838	-8.2046809	20634.64	surface
EDP	PNV-90001	39.6945300	-8.1305560	39.7522166	-7.9259907	18634.14	surface
EDP	BJA-00010	38.1658670	-7.8953900	38.0129775	-7.8600289	17279.91	surface
EDP	PTM-00016	37.2423930	-8.6266500	37.1233953	-8.5797038	13870.16	surface
EDP	PTM-00017	37.2423930	-8.6266500	37.1234030	-8.5797310	13868.62	surface
EDP	MOBI-ACH-00001	38.7231500	-8.9953580	38.7293827	-8.8478093	12818.31	surface
EDP	LLE-00148	37.1274100	-8.0341610	37.0736597	-8.1175916	9511.55	underground
EDP	BRR-00026	38.6615200	-9.0506380	38.5814310	-9.0428282	8931.30	surface
EDP	VFX-00040	38.9540600	-9.0785320	38.9741783	-8.9802150	8789.78	surface
EDP	ODM-00012	37.5833320	-8.6660150	37.5427203	-8.7359331	7640.16	surface
EDP	PLM-00038	38.5630600	-8.9400620	38.5753951	-9.0234904	7381.68	surface
EDP	PLM-00040	38.5630600	-8.9400620	38.5769187	-9.0154645	6734.00	surface
EDP	RMR-00010	39.3404730	-8.8596940	39.3406390	-8.9305235	6091.17	surface
