EDPC;EDP Comercial;1265
GLPP;Galp Power OPC;778
HORZ;Powerdot, S.A;650
ATLA;Atlante Infra Portugal, S.A;506
TRUE;WOWPLUG;377
KLCS;Kilometer Low Cost II Serviços, SA;329
GLPP;Galp Power;241
MAKS;Maksu;220
REPS;REPSOL PORTUGUESA LDA;159
IBRD;Iberdrola Clientes Portugal, Unipessoal, Lda;158
HELX;Helexia II Energy Services, Lda.;157
GLPG;Galpgeste;128
PRIO;Prio.E Mobility Solutions, Lda;127
MOTA;Mota-Engil Renewing;100
FCTO;CHARGING TOGETHER, UNIPESSOAL LDA;92
MLTR;Mobiletric;81
EMEL;EMEL - Empresa Municipal de Mobilidade e Estacionamento de Lisboa, E.M., S.A.;55
ECOI;Ecoinside - Soluções em Ecoeficiência e Sustentabilidade Lda;43
EVCE;EVCE POWER, LDA. / MOBISMART;42
FACT;FactorENERGIA;37
MLTR;Mobiletric, LDA;35
SEGM;SEGMA - Serviços de Engenharia Gestão e Manutenção Lda;34
LOGI;uCharge;30
PLUG;e-Plug, Lda;29
GLPG;Galp Gest;28
MOON;Siva - Sociedade de Importação de Veículos Automóveis;26
EVPW;EVpower, Charging Solutions Lda;23
EMAC;EMACOM - Telecomunicações da Madeira, Unipessoal, Lda;23
HIGH;High Green Power, Unipessoal Lda.;23
HEXA;HEXAGONAL OCEAN, LDA;21
GENJ;Generation Journey Lda ;20
LOUL;Loulé Concelho Global, EM;20
CEPS;Cepsa Portuguesa Petroleos;19
BLUE;Bluecharge, Lda;16
HORZ;Horizondistance, Unipessoal Lda;15
VEIM;Veimonte Lda;15
IONY;IONITY GmbH;14
DTEI;DTE, Instalacoes Especiais;14
GREE;GREEN CHARGE - MOBILIDADE ELÉTRICA, LDA;14
INTV;Instavolt Portugal Lda.;12
ALFA;Alfa Energia;12
LUSI;LUSIADAENERGIA, S.A.;11
EVIO;EVIO - Electrical Mobility;10
SEGM;Segma;9
PFTW;Plug Four the WorldLda;9
CAPW;Capwatt Services;8
CABL;Cable Exanergia Portugal;8
CARG;Cargga Inteligente;6
CSCP;Cascais Proxima;6
CAPW;Capwatt Services, S.A.;6
VISA;VISACASA - SERVIÇOS DE ASSISTÊNCIA E MANUTENÇÃO GLOBAL S.A.;6
SEGM;SEGMA – Serviços de Engenharia Gestão e Manutenção Lda;5
GRCA;Grcapp, Unipessoal Lda;5
BELM;Bel Mobility;5
LOUL;Loulé Concelho Global;5
CIRC;Circuitos Energy Solutions, Lda.;5
GASF;GASFOMENTO - Sistemas e Instalações de Gás, S.A.;5
CIRC;Circuitos de Inovação;5
ATLA;Atlante;4
MOBI;MOBIE;4
NEUR;Neureifen - Electric Mobility, Lda;4
NRGS;Original Sunenergy, Lda;4
ENBL;Enable Mobility Solutions, S.A.;4
SOLX;SOLX;4
IHOM;iHome Lda;3
EVGR;Green Evolut, LDA;3
FRTR;FRONTROW, LDA;3
IMAG;Image4all - Eficiência Energética, Comunicação e Imagem;3
EMEL;EMEL;3
SCRZ;Município de Santa Cruz;3
SILV;Silver Ridge - Asset Management;2
MOON;MOO;2
GOLD;Gold Energy;2
CEVE;Cooperativa Elétrica de Vale d´Este;2
SDBR;SodiBraga - Supermercados Lda;2
CSCP;Cascais Próxima;2
SFAF;Superfafe- supermercados,lda;2
SGMR;Superguimarães - Supermercados,lda;2
HEXA;Hexagonal Ocean;2
EMOB;Emobtec - Tec. Mobilidade Elétrica, unipessoal Lda;2
PROP;PROPEL - PRODUTOS DE PETRÓLEO, LDA;2
IMAG;Image 4 all – Eficiência Energética, Comunicação e Imagem,Lda;2
WENE;WENEA SERVICES SPAIN S.L.;2
EPOC;EPOCH;2
EZUR;Ezu Energia;2
BINT;Bluint - Engenharia e Tecnologias Integradas, Unipessoal, Lda;2
GREE;Green Charge - Mobilidade Eletrica;2
ATLA;Atlante Infra Portugal S.A.;2
NRGS;NRG - Sistemas de Energia Renováveis, Lda.;2
ECOI;ECOINSIDE;2
PLUG;E-Plug, Lda;2
CEVE;CEVE - Cooperativa Eléctrica do Vale D’Este C.R.L.;2
KLCO;Atlante Infra Portugal;1
EZC3;EZ - CHARG3, Lda ;1
MEOE;MEO Energia - Comercialização de Energia, SA;1
ZUND;Grupo Easycharger, SL;1
PACO;PACORP, LDA;1
INVP;Intervilapraia;1
JHOR;JH Ornelas;1
MOBA;MOBI A - Mobilidade e Ambiente, Lda;1
GENJ;Generation Journey;1
FRIO;Distrifrio Supermercados, Lda;1
ECOI;Ecoinside – Soluções em Ecoeficiência e Sustentabilidade Lda;1
ATLA;Atlante Infra Portugal S.a.;1
SARE;Superareosa Supermercados, Lda;1
PTER;PETROTERMICA ENERGIA, S.A.;1
DOUR;Douromobe  - Comercializadora de Energia, S.A.;1
