Station ID;OPC;EVSE ID;Connector Type;Charging Mode;Voltage (V);Max Current (A);Calculated Power (W);Claimed Power (W);Power Difference (W)
GLP-OVR-00024;GLP;PT*GLP*EOVR*00024*01;iec62196T2COMBO;mode4DC;1000.0;250.0;250000.0;350000.0;-100000.0
GLP-OVR-00024;GLP;PT*GLP*EOVR*00024*02;iec62196T2COMBO;mode4DC;1000.0;250.0;250000.0;350000.0;-100000.0
GLP-OVR-00024;GLP;PT*GLP*EOVR*00024*03;iec62196T2COMBO;mode4DC;1000.0;250.0;250000.0;350000.0;-100000.0
GLP-OVR-00024;GLP;PT*GLP*EOVR*00024*04;iec62196T2COMBO;mode4DC;1000.0;250.0;250000.0;350000.0;-100000.0
GLP-OVR-00025;GLP;PT*GLP*EOVR*00025*01;iec62196T2COMBO;mode4DC;1000.0;250.0;250000.0;350000.0;-100000.0
GLP-OVR-00025;GLP;PT*GLP*EOVR*00025*02;iec62196T2COMBO;mode4DC;1000.0;250.0;250000.0;350000.0;-100000.0
GLP-OVR-00025;GLP;PT*GLP*EOVR*00025*03;iec62196T2COMBO;mode4DC;1000.0;250.0;250000.0;350000.0;-100000.0
GLP-OVR-00025;GLP;PT*GLP*EOVR*00025*04;iec62196T2COMBO;mode4DC;1000.0;250.0;250000.0;350000.0;-100000.0
GLP-OVR-00026;GLP;PT*GLP*EOVR*00026*01;iec62196T2COMBO;mode4DC;1000.0;250.0;250000.0;350000.0;-100000.0
GLP-OVR-00026;GLP;PT*GLP*EOVR*00026*02;iec62196T2COMBO;mode4DC;1000.0;250.0;250000.0;350000.0;-100000.0
GLP-OVR-00026;GLP;PT*GLP*EOVR*00026*03;iec62196T2COMBO;mode4DC;1000.0;250.0;250000.0;350000.0;-100000.0
GLP-OVR-00026;GLP;PT*GLP*EOVR*00026*04;iec62196T2COMBO;mode4DC;1000.0;250.0;250000.0;350000.0;-100000.0
GLP-LSB-00467;GLP;PT*GLP*ELSB*00467*01;iec62196T2COMBO;mode4DC;500.0;195.0;97500.0;180000.0;-82500.0
REP-ARC-00010;REP;PT*REP*E17558*1;iec62196T2COMBO;mode4DC;400.0;125.0;50000.0;120000.0;-70000.0
REP-MTJ-00127;REP;PT*REP*E17564*1;iec62196T2COMBO;mode4DC;400.0;125.0;50000.0;120000.0;-70000.0
REP-PRT-00307;REP;PT*REP*E*PRT*00307*01;iec62196T2COMBO;mode4DC;400.0;215.0;86000.0;150000.0;-64000.0
REP-PRT-00307;REP;PT*REP*E*PRT*00307*02;iec62196T2COMBO;mode4DC;400.0;215.0;86000.0;150000.0;-64000.0
GLG-AVR-00040;GLG;PT*GLG*EAVR*00040*01;iec62196T2COMBO;mode4DC;500.0;120.0;60000.0;120000.0;-60000.0
GLG-VCT-00029;GLG;PT*GLG*EVCT*00029*01;iec62196T2COMBO;mode4DC;500.0;120.0;60000.0;120000.0;-60000.0
GLG-VCT-00030;GLG;PT*GLG*EVCT*00030*01;iec62196T2COMBO;mode4DC;500.0;120.0;60000.0;120000.0;-60000.0
GLP-TVD-00028;GLP;PT*GLP*ETVD*00028*02;iec62196T2COMBO;mode4DC;500.0;120.0;60000.0;120000.0;-60000.0
GLP-TVD-00029;GLP;PT*GLP*ETVD*00029*02;iec62196T2COMBO;mode4DC;500.0;120.0;60000.0;120000.0;-60000.0
GLP-TVD-00030;GLP;PT*GLP*ETVD*00030*02;iec62196T2COMBO;mode4DC;500.0;120.0;60000.0;120000.0;-60000.0
HRZ-ODV-00018;HRZ;PT*HRZ*E*ODV*00018*04;iec62196T2COMBO;mode4DC;500.0;200.0;100000.0;160000.0;-60000.0
TRK-STC-00012;TRK;PT*TRK*E*STC*00012*01;iec62196T2COMBO;mode4DC;400.0;230.0;92000.0;150000.0;-58000.0
TRK-STC-00012;TRK;PT*TRK*E*STC*00012*02;iec62196T2COMBO;mode4DC;400.0;230.0;92000.0;150000.0;-58000.0
GLP-LLE-00204;GLP;PT*GLP*ELLE*00204*01;iec62196T2COMBO;mode4DC;500.0;125.0;62500.0;120000.0;-57500.0
GLP-LLE-00207;GLP;PT*GLP*ELLE*00207*01;iec62196T2COMBO;mode4DC;500.0;125.0;62500.0;120000.0;-57500.0
GLP-LLE-00208;GLP;PT*GLP*ELLE*00208*01;iec62196T2COMBO;mode4DC;500.0;125.0;62500.0;120000.0;-57500.0
GLP-LLE-00209;GLP;PT*GLP*ELLE*00209*01;iec62196T2COMBO;mode4DC;500.0;125.0;62500.0;120000.0;-57500.0
GLP-LLE-00210;GLP;PT*GLP*ELLE*00210*01;iec62196T2COMBO;mode4DC;500.0;125.0;62500.0;120000.0;-57500.0
