Station ID	OPC	EVSE ID	Connector Type	Charging Mode	Voltage (V)	Max Current (A)	Calculated Power (W)	Claimed Power (W)	Power Difference (W)
BRR-00125	HRZ	PT*HRZ*E*BRR*00125*04	iec62196T2COMBO	mode4DC	500.0	200.0	100000.0	200000.0	-100000.0
BRR-00125	HRZ	PT*HRZ*E*BRR*00125*05	iec62196T2COMBO	mode4DC	500.0	200.0	100000.0	200000.0	-100000.0
OVR-00024	GLP	PT*GLP*EOVR*00024*01	iec62196T2COMBO	mode4DC	1000.0	250.0	250000.0	350000.0	-100000.0
OVR-00024	GLP	PT*GLP*EOVR*00024*02	iec62196T2COMBO	mode4DC	1000.0	250.0	250000.0	350000.0	-100000.0
OVR-00024	GLP	PT*GLP*EOVR*00024*03	iec62196T2COMBO	mode4DC	1000.0	250.0	250000.0	350000.0	-100000.0
OVR-00024	GLP	PT*GLP*EOVR*00024*04	iec62196T2COMBO	mode4DC	1000.0	250.0	250000.0	350000.0	-100000.0
OVR-00025	GLP	PT*GLP*EOVR*00025*01	iec62196T2COMBO	mode4DC	1000.0	250.0	250000.0	350000.0	-100000.0
OVR-00025	GLP	PT*GLP*EOVR*00025*02	iec62196T2COMBO	mode4DC	1000.0	250.0	250000.0	350000.0	-100000.0
OVR-00025	GLP	PT*GLP*EOVR*00025*03	iec62196T2COMBO	mode4DC	1000.0	250.0	250000.0	350000.0	-100000.0
OVR-00025	GLP	PT*GLP*EOVR*00025*04	iec62196T2COMBO	mode4DC	1000.0	250.0	250000.0	350000.0	-100000.0
OVR-00026	GLP	PT*GLP*EOVR*00026*01	iec62196T2COMBO	mode4DC	1000.0	250.0	250000.0	350000.0	-100000.0
OVR-00026	GLP	PT*GLP*EOVR*00026*02	iec62196T2COMBO	mode4DC	1000.0	250.0	250000.0	350000.0	-100000.0
OVR-00026	GLP	PT*GLP*EOVR*00026*03	iec62196T2COMBO	mode4DC	1000.0	250.0	250000.0	350000.0	-100000.0
OVR-00026	GLP	PT*GLP*EOVR*00026*04	iec62196T2COMBO	mode4DC	1000.0	250.0	250000.0	350000.0	-100000.0
GMR-00155	EDP	PT*EDP*EGMR*00155*3	iec62196T2	mode3AC3p	240.0	32.0	23000.0	122000.0	-99000.0
LSB-00401	EDP	PT*EDP*E*LSB*00401*02	iec62196T2COMBO	mode4DC	500.0	125.0	62500.0	160000.0	-97500.0
OER-00084	GLP	PT*GLP*EOER*00084*01	chademo	mode4DC	500.0	125.0	62500.0	160000.0	-97500.0
OER-00085	GLP	PT*GLP*EOER*00085*01	chademo	mode4DC	500.0	125.0	62500.0	160000.0	-97500.0
OER-00086	GLP	PT*GLP*EOER*00086*01	chademo	mode4DC	500.0	125.0	62500.0	160000.0	-97500.0
OER-00087	GLP	PT*GLP*EOER*00087*01	chademo	mode4DC	500.0	125.0	62500.0	160000.0	-97500.0
LRS-00067	EDP	PT*EDP*E*LRS*00067*02	iec62196T2COMBO	mode4DC	500.0	125.0	62500.0	150000.0	-87500.0
LSB-00467	GLP	PT*GLP*ELSB*00467*01	iec62196T2COMBO	mode4DC	500.0	195.0	97500.0	180000.0	-82500.0
LSB-00468	GLP	PT*GLP*ELSB*00468*01	iec62196T2COMBO	mode4DC	500.0	195.0	97500.0	180000.0	-82500.0
SXL-00028	GLP	PT*GLP*ESXL*00028*01	iec62196T2COMBO	mode4DC	500.0	195.0	97500.0	180000.0	-82500.0
SXL-00032	GLP	PT*GLP*ESXL*00032*01	iec62196T2COMBO	mode4DC	500.0	200.0	100000.0	180000.0	-80000.0
SXL-00034	GLP	PT*GLP*ESXL*00034*01	iec62196T2COMBO	mode4DC	500.0	200.0	100000.0	180000.0	-80000.0
SXL-00036	GLP	PT*GLP*ESXL*00036*01	iec62196T2COMBO	mode4DC	500.0	200.0	100000.0	180000.0	-80000.0
VVR-00002	GLG	PT*GLG*EVVR*00002*01	iec62196T2COMBO	mode4DC	500.0	200.0	100000.0	180000.0	-80000.0
VVR-00003	GLG	PT*GLG*EVVR*00003*01	iec62196T2COMBO	mode4DC	500.0	200.0	100000.0	180000.0	-80000.0
GDL-00006	EDP	PT*EDP*E*GDL*00006*02	iec62196T2COMBO	mode4DC	500.0	175.0	87500.0	160000.0	-72500.0
GDL-00007	EDP	PT*EDP*E*GDL*00007*02	iec62196T2COMBO	mode4DC	500.0	175.0	87500.0	160000.0	-72500.0
LRS-00058	EDP	PT*EDP*E*LRS*00058*02	iec62196T2COMBO	mode4DC	500.0	175.0	87500.0	160000.0	-72500.0
PNF-00011	EDP	PT*EDP*E*PNF*00011*02	iec62196T2COMBO	mode4DC	500.0	175.0	87500.0	160000.0	-72500.0
PNF-00012	EDP	PT*EDP*E*PNF*00012*02	iec62196T2COMBO	mode4DC	500.0	175.0	87500.0	160000.0	-72500.0
STR-00019	EDP	PT*EDP*E*STR*00019*02	iec62196T2COMBO	mode4DC	500.0	175.0	87500.0	160000.0	-72500.0
STR-00022	EDP	PT*EDP*E*STR*00022*02	iec62196T2COMBO	mode4DC	500.0	175.0	87500.0	160000.0	-72500.0
SXL-00016	EDP	PT*EDP*E*SXL*00016*02	iec62196T2COMBO	mode4DC	500.0	175.0	87500.0	160000.0	-72500.0
VND-00008	EDP	PT*EDP*E*VND*00008*02	iec62196T2COMBO	mode4DC	500.0	175.0	87500.0	160000.0	-72500.0
VND-00009	EDP	PT*EDP*E*VND*00009*02	iec62196T2COMBO	mode4DC	500.0	175.0	87500.0	160000.0	-72500.0
VNG-00067	EDP	PT*EDP*E*VNG*00067*02	iec62196T2COMBO	mode4DC	500.0	175.0	87500.0	160000.0	-72500.0
GDM-00054	MOT	PT*MOT*E*GDM*00054*01	iec62196T2COMBO	mode4DC	400.0	320.0	128000.0	200000.0	-72000.0
GDM-00054	MOT	PT*MOT*E*GDM*00054*02	iec62196T2COMBO	mode4DC	400.0	320.0	128000.0	200000.0	-72000.0
CTB-00042	MOT	PT*MOT*E*CTB*00042*02	iec62196T2COMBO	mode4DC	100.0	300.0	30000.0	100000.0	-70000.0
VVR-00002	GLG	PT*GLG*EVVR*00002*02	iec62196T2COMBO	mode4DC	950.0	120.0	114000.0	180000.0	-66000.0
AND-00005	HRZ	PT*HRZ*E*AND*00005*02	iec62196T2COMBO	mode4DC	500.0	200.0	100000.0	160000.0	-60000.0
AVR-00040	GLG	PT*GLG*EAVR*00040*01	iec62196T2COMBO	mode4DC	500.0	120.0	60000.0	120000.0	-60000.0
BRR-00125	HRZ	PT*HRZ*E*BRR*00125*02	iec62196T2COMBO	mode4DC	500.0	200.0	100000.0	160000.0	-60000.0
ODV-00018	HRZ	PT*HRZ*E*ODV*00018*04	iec62196T2COMBO	mode4DC	500.0	200.0	100000.0	160000.0	-60000.0
PRT-00333	REP	PT*REP*E*PRT*00333*01	chademo	mode4DC	500.0	120.0	60000.0	120000.0	-60000.0
TVD-00028	GLP	PT*GLP*ETVD*00028*02	iec62196T2COMBO	mode4DC	500.0	120.0	60000.0	120000.0	-60000.0
TVD-00029	GLP	PT*GLP*ETVD*00029*02	iec62196T2COMBO	mode4DC	500.0	120.0	60000.0	120000.0	-60000.0
TVD-00030	GLP	PT*GLP*ETVD*00030*02	iec62196T2COMBO	mode4DC	500.0	120.0	60000.0	120000.0	-60000.0
VCT-00029	GLG	PT*GLG*EVCT*00029*01	iec62196T2COMBO	mode4DC	500.0	120.0	60000.0	120000.0	-60000.0
VCT-00030	GLG	PT*GLG*EVCT*00030*01	iec62196T2COMBO	mode4DC	500.0	120.0	60000.0	120000.0	-60000.0
STC-00012	TRK	PT*TRK*E*STC*00012*01	iec62196T2COMBO	mode4DC	400.0	230.0	92000.0	150000.0	-58000.0
STC-00012	TRK	PT*TRK*E*STC*00012*02	iec62196T2COMBO	mode4DC	400.0	230.0	92000.0	150000.0	-58000.0
LLE-00201	GLP	PT*GLP*ELLE*00201*01	iec62196T2COMBO	mode4DC	500.0	125.0	62500.0	120000.0	-57500.0
LLE-00202	GLP	PT*GLP*ELLE*00202*01	iec62196T2COMBO	mode4DC	500.0	125.0	62500.0	120000.0	-57500.0
LLE-00203	GLP	PT*GLP*ELLE*00203*01	iec62196T2COMBO	mode4DC	500.0	125.0	62500.0	120000.0	-57500.0
LLE-00204	GLP	PT*GLP*ELLE*00204*01	iec62196T2COMBO	mode4DC	500.0	125.0	62500.0	120000.0	-57500.0
LLE-00205	GLP	PT*GLP*ELLE*00205*01	iec62196T2COMBO	mode4DC	500.0	125.0	62500.0	120000.0	-57500.0
LLE-00207	GLP	PT*GLP*ELLE*00207*01	iec62196T2COMBO	mode4DC	500.0	125.0	62500.0	120000.0	-57500.0
LLE-00209	GLP	PT*GLP*ELLE*00209*01	iec62196T2COMBO	mode4DC	500.0	125.0	62500.0	120000.0	-57500.0
LLE-00210	GLP	PT*GLP*ELLE*00210*01	iec62196T2COMBO	mode4DC	500.0	125.0	62500.0	120000.0	-57500.0
LLE-00211	GLP	PT*GLP*ELLE*00211*01	iec62196T2COMBO	mode4DC	500.0	125.0	62500.0	120000.0	-57500.0
VRL-00032	EDP	PT*EDP*E*VRL*00032*01	iec62196T2COMBO	mode4DC	400.0	235.0	94000.0	150000.0	-56000.0
VRL-00032	EDP	PT*EDP*E*VRL*00032*02	iec62196T2COMBO	mode4DC	400.0	235.0	94000.0	150000.0	-56000.0
PRT-00160	MOO	PT*MOO*E*PRT*00160*01	iec62196T2COMBO	mode4DC	500.0	250.0	125000.0	180000.0	-55000.0
PTM-00046	EVP	PT*EVP*E*PTM*00046*01	iec62196T2COMBO	mode4DC	1000.0	125.0	125000.0	180000.0	-55000.0
PTM-00046	EVP	PT*EVP*E*PTM*00046*02	iec62196T2COMBO	mode4DC	1000.0	125.0	125000.0	180000.0	-55000.0
SRP-00004	EVP	PT*EVP*E*SRP*00004*01	iec62196T2COMBO	mode4DC	1000.0	125.0	125000.0	180000.0	-55000.0
SRP-00004	EVP	PT*EVP*E*SRP*00004*02	iec62196T2COMBO	mode4DC	1000.0	125.0	125000.0	180000.0	-55000.0
CTB-00027	HRZ	PT*HRZ*E*CTB*00027*04	iec62196T2COMBO	mode4DC	500.0	300.0	150000.0	200000.0	-50000.0
CTB-00027	HRZ	PT*HRZ*E*CTB*00027*05	iec62196T2COMBO	mode4DC	500.0	300.0	150000.0	200000.0	-50000.0
EVR-00022	MOO	PT*MOO*E*EVR*00022*01	iec62196T2COMBO	mode4DC	500.0	500.0	250000.0	300000.0	-50000.0
EVR-00022	MOO	PT*MOO*E*EVR*00022*02	iec62196T2COMBO	mode4DC	500.0	500.0	250000.0	300000.0	-50000.0
