Prefix;Count
LSB;774
CSC;335
PRT;246
OER;164
VNG;161
LLE;157
SNT;149
BRR;125
MTS;124
LRS;117
BRG;109
GMR;105
CBR;93
LRA;92
MTJ;92
VIS;91
VFX;90
VFR;77
MOB;73
STB;72
ABF;66
ALM;65
PTM;63
AMD;62
AVR;60
FAR;60
SXL;57
BJA;51
EVR;51
VCT;51
TVD;50
VCD;48
GDL;47
GDM;46
STR;46
MAI;42
SJM;41
CVL;40
MFR;40
PNF;40
VLG;40
VNF;40
MLD;38
OVR;37
STS;37
TMR;37
CTB;36
GRD;35
PVZ;35
EPS;34
PLM;34
ODV;33
OLH;33
BCL;31
ILH;30
SLV;30
VRL;30
LGS;29
CLD;28
PRD;28
ACB;27
LGA;27
NZR;27
ACH;26
FIG;25
FNC;25
AND;24
ORM;24
ALB;23
CNT;23
FUN;23
CHV;22
CMN;22
BGC;21
TNV;21
ABT;19
ALQ;19
AMT;19
ETR;19
FLG;19
LNH;19
PBL;19
PTG;19
TVR;19
FND;18
OBD;18
PNI;18
PTL;18
ETZ;17
FAF;17
MGR;17
PFR;17
VVD;17
PDL;16
SCR;16
SSB;16
MTA;15
OHP;15
RGR;15
SEI;15
STC;15
ASL;14
AZB;14
BNV;14
LMG;14
MCH;14
MCN;14
OAZ;14
OBR;14
TND;14
TRF;14
VBP;14
AGD;13
AGH;13
ARV;13
MMN;13
PST;13
MDL;12
AVV;11
ESP;11
ODM;11
PMS;11
SCD;11
SMG;11
SNS;11
VLC;11
BBR;10
BTL;10
ELV;10
LOU;10
LSA;10
MNC;10
RMR;10
CDN;9
CTM;9
MGL;9
MMV;9
VND;9
ACN;8
AJT;8
ALD;8
ALR;8
CBC;8
CCH;8
CLB;8
ENT;8
MDR;8
TBR;8
VPV;8
VRS;8
BAO;7
CVR;7
HRT;7
PNV;7
PSR;7
RMZ;7
SBA;7
TBU;7
VGS;7
VIZ;7
VLN;7
VNC;7
ALT;6
AMR;6
CNF;6
IDN;6
MCD;6
MIR;6
NLS;6
PCT;6
PCV;6
PRG;6
PVL;6
SPS;6
VFC;6
VNT;6
AJZ;5
AVZ;5
CBT;5
CHM;5
CTX;5
GVA;5
MCV;5
OFR;5
SBG;5
SRT;5
SVC;5
VPA;5
VVR;5
VZL;5
ADV;4
AGN;4
AMM;4
ANS;4
ARC;4
AVT;4
CLT;4
CRS;4
MDB;4
MLG;4
MRS;4
MTG;4
MTR;4
ORQ;4
PMZ;4
RSD;4
SAT;4
SCG;4
SRN;4
SRP;4
VLF;4
VNP;4
VPT;4
ACT;3
AGB;3
ALJ;3
ARL;3
AVS;3
BMT;3
BRB;3
CML;3
CPV;3
CRT;3
CVD;3
FVN;3
FZZ;3
LSD;3
MOR;3
MOU;3
MRA;3
OLR;3
PGR;3
PNL;3
RBR;3
RPN;3
SJP;3
SMA;3
SMP;3
SRE;3
STN;3
SVV;3
TBC;3
TCS;3
TMC;3
TRC;3
VDG;3
VLP;3
VMS;3
VRM;3
VVC;3
AFE;2
CBA;2
CDR;2
CHT;2
CMR;2
CNS;2
CPR;2
CRV;2
FAL;2
FCR;2
FEC;2
FEU;2
GLG;2
MBR;2
MCQ;2
MED;2
MGD;2
MRT;2
MRV;2
MTL;2
NIS;2
NRD;2
PNC;2
PND;2
PNH;2
PPS;2
PTB;2
PVC;2
RDD;2
SBR;2
SRD;2
SSL;2
VFL;2
VLR;2
VLS;2
VNB;2
ADL;1
APC;1
ARR;1
BRC;1
BTC;1
CDV;1
CRZ;1
FAG;1
FTR;1
GAV;1
GOI;1
LAG;1
LGF;1
LGP;1
MAC;1
MAD;1
MFT;1
MSF;1
MUR;1
PCR;1
PRL;1
PRS;1
PTS;1
RAM;1
SRQ;1
VNH;1
