Prefix	Count
EDP	1601
GLP	1554
HRZ	765
TRK	698
ATL	601
MAK	362
FCT	238
HLX	222
REP	208
IBD	175
MOT	162
PRI	161
GLG	134
MLT	109
EML	80
DTE	75
SEG	72
KLS	69
ECI	52
EVC	51
FAC	38
HEX	38
LOG	33
LCG	32
CPS	30
PLG	30
MOO	26
EMA	25
HGP	25
ENB	23
EVP	22
GEN	21
ITV	21
CME	20
VEI	20
IOY	18
EVI	16
GRN	16
EZC	15
REM	15
CAP	14
ALF	13
CIR	12
LUZ	11
GLD	9
ACC	8
CSC	8
BEL	7
NRG	7
EGR	6
IHM	6
VIA	6
VIS	6
BLU	5
FRR	5
GSF	5
IMG	5
MOA	5
MOB	5
CEV	4
CGG	4
EVA	4
NEU	4
SLX	4
AUC	3
CON	3
GRC	3
SCR	3
BRI	2
EMT	2
EPO	2
EZU	2
INT	2
PAR	2
PRP	2
PTE	2
SDB	2
SFF	2
SGM	2
SLV	2
WEN	2
ZUN	2
ENE	1
FRI	1
IVP	1
KPM	1
MEO	1
PAC	1
SAR	1
